[

  1,  2,40,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  3],[


  1,  0,  0,  0,  0,  3,  0,  0,  0,  0,  0, 30,  0,  3],[


  1,  2,  2,  7,  2, 13,  0,  0,  0,  2,  2,  2,  2,  3],[


  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  3],[


  1,  0,  0,  0,  0,  0,  0,  0,  0, 33,  0,  0,  0,  3],[


  1,  0,  0,  0, 33,  0,  0,  0,  0,  0,  0,  0,  0,  3],[


  1,  0,  0,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0,  3],[


  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  3],[


  1,  0,  0, 15,  0,  0,  0,  0,  0,  0,  0, 33,  0,  3],[


  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  3],[


  1,  0,  0,  0,  1, 12, 12,  5, 12,  3,  0,  0,  0,  3],[


  1,  0,  0,  0,  1,  0,  0,  0,  0,  3,  0,  0,  0,  3],[


  1,  0,  0,  0,  1, 29,  0,  0, 29,  3,  0,  0,  0,  3],[


 11, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 13],];
